type,entry_time,entry_price,exit_time,exit_price,pnl,profitable,smma_gap,ltq_ratio,ltq_avg_2,ltq_avg_5,market_type,price_change,direction
BUY,2026-08-07 14:46:00,98.99195724715013,2026-08-07 17:01:00,98.37564921663248,-0.6163080305176436,0,0.02216545489353905,1.385833554200901,2091.5,1509.2,bull,-0.03406902808276868,BUY
BUY,2026-08-07 20:16:00,94.53693157353644,2026-08-07 21:27:00,90.91144041834148,-3.6254911551949505,0,0.06849566305736232,1.0813322429559142,2909.0,2690.2,bull,0.17176725697842699,BUY
BUY,2026-08-07 14:17:00,105.62204283710383,2026-08-07 17:09:00,108.26946501715433,2.647422180050498,1,0.09552851555434927,0.8829561769330689,2583.0,2925.4,bull,0.05283134703475412,BUY
BUY,2026-08-07 19:43:00,108.97333464150151,2026-08-07 22:06:00,109.67073677989235,0.6974021383908422,1,0.018243892864902023,0.8939797549280767,1678.0,1877.0,bull,0.09418559660815617,BUY
BUY,2026-08-07 09:39:00,101.70923155485806,2026-08-07 12:02:00,100.8219883599875,-0.8872431948705639,0,0.04397074660407441,0.4789068718492969,722.0,1507.6,bull,0.14171714019020953,BUY
BUY,2026-08-07 14:58:00,103.82753789036701,2026-08-07 16:53:00,103.02975506185173,-0.797782828515281,0,0.011165133223258294,0.9868575451771884,1682.0,1704.4,bull,0.6118928364133609,BUY
BUY,2026-08-07 14:47:00,104.99986098840007,2026-08-07 17:17:00,105.76736594342945,0.7675049550293807,1,0.0474593500548508,0.48905800659325244,1394.5,2851.4,bull,0.7064337053429455,BUY
BUY,2026-08-07 20:38:00,102.53372540856085,2026-08-07 21:44:00,99.46357110528128,-3.0701543032795797,0,0.005126841567303586,0.8883998552996504,1473.5,1658.6,bull,-0.7259379304520621,BUY
BUY,2026-08-07 13:39:00,106.51784815003543,2026-08-07 14:04:00,103.5481970393875,-2.9696511106479306,0,0.005971055161921868,0.8969124063094306,1603.5,1787.8,sideways,0.19622072530182777,BUY
BUY,2026-08-07 14:22:00,107.33450261029462,2026-08-07 17:36:00,110.88872155265344,3.5542189423588155,1,0.040321563288216566,1.218065693430657,1735.5,1424.8,bull,-0.06324720106344728,BUY
